#,INEP,ESCOLA,MUNICÍPIO,LOGRADOURO,CEP,Velocidade Link
1,25053159,EEEF CLOVIS PEDROSA,Cabaceiras,"DISTRITO DE RIBEIRA, - ",58480000,200Mbits
2,25077759,ECIT FRANCISCA MARTINIANO DA ROCHA,Lagoa Seca,"LUCAS DA ROCHA, 297 - CENTRO",58117000,200Mbits
3,25018280,ECI MESTRE JULIO SARMENTO,Sousa,"RUA JOSE DE PAIVA GADELHA, 125 - GATO PRETO",58802085,200Mbits
4,25071939,ECI AUDIOCOMUNICACAO DE CAMPINA GRANDE,Campina Grande,"RUA PROFESSORA EUTECIA VITAL RIBEIRO, SN - CATOLE",58410205,200Mbits
5,25049372,ECI EEFM MANOEL HONORATO SOBRINHO,Coxixola,"RUA PROJETADA, SN - CENTRO",58588000,200Mbits
6,25072200,EEEF AUGUSTO DOS ANJOS,Campina Grande,"RUA PARAIBA, 240 - LIBERDADE",58410066,200Mbits
7,25054490,EEEFM CEL SERVELIANO DE FARIAS CASTRO,Caraúbas,"RUA EXPEDICIONARIO LUIS TENORIO LEAO, 574 - CENTRO",58595000,200Mbits
8,25024523,EEEF MINISTRO CARLOS LUIZ DE ARAUJO,Coremas,"RUA RAIMUNDO LUIZ, 360 - POMBALZINHO",58770000,200Mbits
9,25037846,EEEFM DR MANOEL DANTAS,Teixeira,"RUA DR MANOEL DANTAS, 20 - CENTRO",58735000,200Mbits
10,25045466,EEEM BENTO TENORIO DE SOUSA ESCOLA DO CAMPO,Monteiro,"SITIO SANTA CATARINA, SN - ZONA RURAL",58500000,200Mbits
11,25115618,ECIT ILZA DE ALMEIDA RIBEIRO,Conde,"LOTEAMENTO CIDADE DAS CRIANCAS, 575 - CENTRO",58322000,200Mbits
12,25116762,EEEFM LUIZ RIBEIRO LIMEIRA,Santa Rita,"RUA MILTON VELOSO BORGES, SN - TIBIRI 2",58302510,200Mbits
13,25072005,EEEFM ADEMAR VELOSO SILVEIRA,Campina Grande,"RUA JOAO VIRGOLINO DE ARAUJO, 1043 - BODOCONGO",58430385,200Mbits
14,25034219,EEEFM SANTA CATARINA,Imaculada,"RUA PROFESSOR HENRIQUE ANTONIO DA SILVA, - - RURAL",58745000,200Mbits
15,25038796,EEEM FENELON NOBREGA,Salgadinho,"RUA JOSE MACIEL DE SOUZA, 56 - CENTRO",58650000,200Mbits
